Txhash,UnixTimestamp,DateTime,From,To,Value,ContractAddress,TokenName,TokenSymbol
0xad30313f5010ddd8aac03640c04cf848b93348e9667018b17054d57040fc0a70,1644670392,2/12/22 12:53,0x6a20ca6e28d8401f5883b3c7dc48b1e81aaedf30,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0xe2f574057f5b5c181fc827e5dfd8aa404a30c683e942345e770a90284a500b4e,1644670719,2/12/22 12:58,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,0x6a20ca6e28d8401f5883b3c7dc48b1e81aaedf30,1,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0x40ca188b99b78e9f658b1f0e877d5a67a1deed5c549cf03fdd5dad810b26a43e,1644670922,2/12/22 13:02,0xbdfb6aa3639402b3d2bf41611c68299e72918b69,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0xbdb1d883e5fe76bd281502c1150486d99f2293c3a4235e684bd4b51ace77d113,1644670999,2/12/22 13:03,0x99b4e3f99a27b0ab3c4851f782c4d16a0047d2a5,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,1,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0x1cfbb79c6c237ca0c142e1965f53a785e98ac2175cfd2d26f4a506c7b2197c06,1644673138,2/12/22 13:38,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,0xbdfb6aa3639402b3d2bf41611c68299e72918b69,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0x01fed81e1c8536d671ebc5cca09c6cb1c41ede5df41bfc3c640645127f2ad70e,1644674429,2/12/22 14:00,0x6a20ca6e28d8401f5883b3c7dc48b1e81aaedf30,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0x6797bca67ffd92471fbfcaa68f714fadb741ecb5ba6facc931412b4d6a17b572,1644674438,2/12/22 14:00,0x1732951b80c737dbb8f367e83e530623bb612e54,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0xb56f76b3edd78f844d44e6d93e1de729f0ff9d2fbea256ba8b829d6a10d723a5,1644674453,2/12/22 14:00,0x13ce41d502999e91170cf36b0aaf5ee0e266f82d,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0xbe8de0fbca0bea3e8f4cf108f7c374315a87502845a891222753d7d647072d44,1644674498,2/12/22 14:01,0xe5152d647408542489a7db3202c5223af668c539,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
0x912ba8629491f8f069e0663fedbd8cfbb3e39f77489a38e4c9db1e1a9bbbf90a,1644674570,2/12/22 14:02,0x9fd6b215e6a618f611602ca20daafc2c6fe02cc0,0x09cbfcc18ce667ecc7eeb186883411dc5592c1ae,100,0x1ce440d1a64eea6aa1db2a5aa51c9b326930957c,A2DAO Token,ATD
